Transaction ID,Transaction Type,Transaction Created Date,Transaction Modified Date,Product ID,Quantity,Purchase Order ID,Customer Order ID,Comments
127,2,"04/04/06 11:39:12","04/04/06 11:39:29",40,40,,,
128,2,"04/04/06 11:39:50","04/04/06 11:39:53",8,20,,,
129,2,"04/04/06 11:40:13","04/04/06 11:40:16",80,15,,,
130,2,"04/04/06 11:40:32","04/04/06 11:40:38",74,20,,,
131,2,"04/04/06 11:41:39","04/04/06 11:41:45",72,40,,,
132,2,"04/04/06 11:42:17","04/04/06 11:42:26",3,50,,,
133,2,"04/04/06 11:42:24","04/04/06 11:42:26",8,3,,,
134,2,"04/04/06 11:42:48","04/04/06 11:43:08",20,40,,,
135,2,"04/04/06 11:43:05","04/04/06 11:43:08",52,40,,,
136,3,"04/25/06 17:04:05","04/25/06 17:04:57",56,110,,,
